filename,contains_genuine_ppe,helmet_present,no_helmet_present,vest_present,decision,reason
hn_test_vid_frame_102.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_105.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_108.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_111.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_114.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_117.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_12.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_120.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_123.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_126.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_129.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_132.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_135.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_138.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_141.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_144.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_147.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_15.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_150.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_153.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_156.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_159.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_162.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_165.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_168.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_171.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_174.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_177.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_18.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_180.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_183.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_186.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_189.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_192.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_195.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_198.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_201.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_204.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_207.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_21.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_210.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_213.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_216.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_219.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_24.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_27.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_3.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_30.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_33.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_36.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_39.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_42.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_45.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
hn_test_vid_frame_48.jpg,False,False,False,False,ACCEPT,Source video (docs/test.mp4) confirmed negative for genuine PPE.
